id,username,email,first_name,last_name,addresses,age,gender,persona,discount_persona
15,user15,minsu.kim@example.com,민수,김,"{'address':'서울시 강남구 테헤란로 152길 신사동 301호', 'zipcode':'06294'}",28,M,seasonal_furniture_floral,lower_priced_products
314,user314,junho.lee@example.com,준호,이,"{'address':'서울시 종로구 세종대로 89길 청운동 205호', 'zipcode':'03032'}",31,M,books_apparel_homedecor,lower_priced_products
683,user683,seongwoo.park@example.com,성우,박,"{'address':'서울시 마포구 홍익로 76길 합정동 402호', 'zipcode':'04039'}",25,M,seasonal_furniture_floral,all_discounts
751,user751,daehyeon.choi@example.com,대현,최,"{'address':'서울시 송파구 올림픽로 234길 잠실동 105호', 'zipcode':'05508'}",33,M,books_apparel_homedecor,all_discounts
804,user804,jaemin.jung@example.com,재민,정,"{'address':'서울시 서초구 반포대로 167길 반포동 602호', 'zipcode':'06591'}",29,M,apparel_footwear_accessories,lower_priced_products
836,user836,taeyeong.kang@example.com,태영,강,"{'address':'서울시 용산구 이태원로 45길 이태원동 203호', 'zipcode':'04348'}",27,M,homedecor_electronics_outdoors,all_discounts
1373,user1373,sanghyeon.yoon@example.com,상현,윤,"{'address':'서울시 영등포구 여의대로 123길 여의도동 701호', 'zipcode':'07327'}",35,M,groceries_seasonal_tools,discount_indifferent
1403,user1403,donghoon.lim@example.com,동훈,임,"{'address':'서울시 성동구 왕십리로 87길 성수동 304호', 'zipcode':'04780'}",30,M,footwear_jewelry_furniture,all_discounts
1494,user1494,jiho.han@example.com,지호,한,"{'address':'서울시 광진구 아차산로 198길 구의동 506호', 'zipcode':'05014'}",26,M,accessories_groceries_books,discount_indifferent
1974,user1974,seungmin.oh@example.com,승민,오,"{'address':'서울시 동대문구 회기로 67길 전농동 208호', 'zipcode':'02566'}",32,M,groceries_seasonal_tools,lower_priced_products
2402,user2402,hyeonwoo.bae@example.com,현우,배,"{'address':'서울시 중랑구 망우로 145길 면목동 403호', 'zipcode':'02174'}",24,M,beauty_accessories_instruments,all_discounts
2505,user2505,jaehyeok.shin@example.com,재혁,신,"{'address':'서울시 성북구 정릉로 92길 정릉동 107호', 'zipcode':'02829'}",36,M,seasonal_furniture_floral,lower_priced_products
2681,user2681,junseok.nam@example.com,준석,남,"{'address':'서울시 강북구 수유로 178길 수유동 502호', 'zipcode':'01137'}",28,M,beauty_accessories_instruments,lower_priced_products
2814,user2814,minjae.seo@example.com,민재,서,"{'address':'서울시 도봉구 도봉로 113길 도봉동 205호', 'zipcode':'01425'}",31,M,tools_housewares_apparel,lower_priced_products
2899,user2899,yeongsu.jo@example.com,영수,조,"{'address':'서울시 노원구 상계로 267길 상계동 604호', 'zipcode':'01695'}",29,M,furniture_homedecor_housewares,lower_priced_products
3198,user3198,seokjin.hong@example.com,석진,홍,"{'address':'서울시 은평구 연서로 156길 응암동 308호', 'zipcode':'03302'}",27,M,accessories_groceries_books,lower_priced_products
3430,user3430,minho.gu@example.com,민호,구,"{'address':'서울시 서대문구 연희로 234길 연희동 401호', 'zipcode':'03776'}",34,M,books_apparel_homedecor,all_discounts
3483,user3483,jieun.kim@example.com,지은,김,"{'address':'서울시 양천구 목동서로 89길 목동 203호', 'zipcode':'07936'}",26,F,footwear_jewelry_furniture,discount_indifferent
3521,user3521,sujin.lee@example.com,수진,이,"{'address':'서울시 강서구 화곡로 178길 화곡동 505호', 'zipcode':'07645'}",30,F,accessories_groceries_books,all_discounts
3855,user3855,hyewon.park@example.com,혜원,박,"{'address':'서울시 구로구 구로중앙로 123길 구로동 207호', 'zipcode':'08284'}",25,F,groceries_seasonal_tools,all_discounts
3881,user3881,yuna.choi@example.com,유나,최,"{'address':'서울시 금천구 시흥대로 145길 시흥동 402호', 'zipcode':'08594'}",33,F,seasonal_furniture_floral,discount_indifferent
3923,user3923,seoyeon.jung@example.com,서연,정,"{'address':'서울시 관악구 관악로 267길 봉천동 304호', 'zipcode':'08776'}",28,F,seasonal_furniture_floral,discount_indifferent
4415,user4415,minjeong.kang@example.com,민정,강,"{'address':'서울시 동작구 사당로 89길 사당동 601호', 'zipcode':'07045'}",32,F,electronics_outdoors_footwear,lower_priced_products
4653,user4653,chaeyeong.yoon@example.com,채영,윤,"{'address':'서울시 중구 을지로 156길 을지로동 103호', 'zipcode':'04533'}",24,F,books_apparel_homedecor,all_discounts
4888,user4888,jihye.lim@example.com,지혜,임,"{'address':'서울시 강동구 천호대로 234길 천호동 405호', 'zipcode':'05329'}",35,F,footwear_jewelry_furniture,lower_priced_products
